Ключевые навыки;Кол-во
LISP;1
literature reviews or other technical and academic publications;1
Localization;1
LoraWan;1
Luigi;1
Malware Research;1
Management Skills;1
Manual;1
Manual testing;1
manual testing;1
Marian;1
Matlab Simulink;1
Matplotlib;1
Memcached;1
Mercurial;1
Microservices;1
MineShed;1
minestar;1
mining industry or mine related research;1
MLOps;1
Mockito;1
Motion Builder;1
MPLS;1
MPLS L3/L2 VPN;1
MS Power BI;1
MS Visual C++;1
MS Word;1
MSVC;1
NATS;1
NetApp;1
Network Algorithm;1
Next.js;1
NLP-библиотеки;1
NW.js;1
OCR;1
Octave;1
OLAP-структуры;1
OpenCL;1
OpenNebula;1
OpenOffice;1
OpenShift;1
OpenWay;1
OpenWay Way4;1
Operations Management;1
Opex;1
Oracle 11G;1
Oracle CRM;1
Oracle RAC;1
OSPF;1
OWASP;1
Painting;1
PC Gaming;1
penetration test;1
Pentaho;1
PhD;1
PMBOK;1
PMI;1
PMP;1
Postman;1
PR;1
Prince;1
Process Management;1
Procurement;1
Product Analytics;1
Product skills;1
Project development in automotive industry;1
Project Documentation;1
Project Expert;1
Project management operation;1
Public Speaking;1
PXE;1
py.test;1
QA/QC;1
QEMU;1
Qlik;1
QlikView;1
Quality Management;1
rack;1
Raid;1
RDBMS;1
RDS;1
Recruitment;1
Redmine;1
Reporting;1
Research;1
Research And Development;1
Rest API;1
Rest Assured;1
Retail;1
reverse engineering;1
RPC;1
RSTP;1
RTG;1
RTM;1
RxJava;1
RXSwift;1
S3;1
Sales Planning;1
SaltStack;1
SAN NAS;1
SAP Commerce (SAP Hybris Commerce);1
SAP R/3;1
SAST;1
scikit-learn;1
SecOps;1
SEIM (HP ArcSight ESM);1
Selenide;1
Selenoid;1
Serverless;1
Service Provider/Data Center;1
Shell Scripting;1
shop purchase testing;1
Sketch;1
Sklearn;1
Skype;1
SLA;1
SMM;1
Software Quality Assurance, Software Testing;1
Solr;1
source code;1
SPA;1
Spacy;1
Speech recognition;1
Speech-to-text;1
Splunk;1
SPMAT;1
SPSS;1
SRE;1
SSAS;1
SSDT;1
SSMS;1
SSRS;1
STAAD Pro;1
Statistica;1
Statistical Analysis;1
stored procedures;1
STP;1
surpac;1
sybase;1
Symfony;1
SysOps;1
tableau;1
Tableu;1
tarantool;1
TDD;1
TeamCity;1
Tender Management;1
TensorFlow;1
test documentation;1
testing;1
TestRail;1
TFS;1
Transact-SQL;1
Transport Logistics;1
Troubleshooting;1
UE4;1
UI/UX;1
UIKit;1
UPS;1
VAS;1
VBA;1
vertical;1
Visual C++;1
VoIP;1
VRRP;1
Vulnerability;1
Vulnerability researcher;1
WAF;1
way4;1
web;1
Web Application Development;1
web security;1
Web services;1
Web-Development;1
WebPack;1
Webpack;1
Welding;1
Well Testing;1
Wildfly;1
Windows Os;1
Windows server platform;1
Wintel systems;1
Workflow Management;1
XML Dom;1
XML/Xslt;1
ZeroMQ;1
Автоматическое тестирование;1
Административная поддержка руководителя;1
Администрирование серверов;1
Администрирование сетевого оборудования;1
Анализ АБС;1
Анализ бизнес показателей;1
Анализ инвестиционных проектов;1
анализ ключевых систем банка;1
Анализ требований заказчика;1
Аналитика;1
Аналитика продаж;1
Архивирование;1
Аудит;1
Бизнес-планирование;1
БЛВС;1
Большие данные;1
Бумажный документооборот;1
Бухгалтерский учет;1
Веб-аналитика;1
Веб-программирование;1
Ведение архива;1
Ведение клиентской базы;1
Взаимодействие с контрольными органами;1
виртуальный сервер;1
вклады;1
Внешний финансовый аудит;1
Внимательность;1
Внутренний контроль;1
Внутренний финансовый аудит;1
Выездное обслуживание;1
ВЭД;1
ГНКТ;1
Гранд-смета;1
ГТИ;1
дебетовые карты;1
Деловая этика;1
Документальное сопровождение;1
Документооборот;1
Инвестиционный анализ;1
Инженерные системы;1
Инновационный менеджмент;1
Интервьюирование;1
Интернет маркетинг;1
Интернет-реклама;1
Испанский язык;1
Исследование скважин;1
Итальянский язык;1
Клиентоориентированность;1
Коммуникация;1
Консультирование клиентов;1
Контекстная реклама;1
Контроль исполнения решений;1
ЛВС;1
Маркетинговое планирование;1
Материальная ответственность;1
Машинное обучение;1
Международный подбор;1
методологий разработки ПО;1
Микромайн;1
Микросервисы;1
Мобильная разработка;1
Моделирование бизнес процессов;1
Моделирование процессов;1
мониторинг;1
Монтаж металлоконструкций;1
Навыки презентации;1
Найм сотрудников;1
написание технической документации;1
Настройка серверов;1
Нацеленность на результат;1
Немецкий язык;1
обучаемость;1
Обучение персонала;1
Оперативный поиск информации в сети Интернет;1
ОС Linux;1
Ответственность;1
Первичные документы;1
Планирование карьеры;1
подбор девайсов;1
подготовка документов для участия в тендерах;1
Подготовка коммерческих предложений;1
Подготовка презентаций;1
Подготовка презентаций на иностранном языке;1
Поддержка клиентов;1
поддержка пользователей;1
Поисковые системы;1
Преподаватель;1
Проведение опросов;1
Прогнозирование;1
программирование;1
программирование встроенных микроконтроллерных систем;1
Продажа юридическим лицам;1
Проектирование framework;1
Проектирование металлоконструкций;1
Проектный менеджмент;1
Прокладка кабелей;1
Прямые продажи;1
Публичные выступления;1
Работа с командой;1
Работа с людьми;1
Работа с юридическими лицами;1
Развитие ключевых клиентов;1
Разработка инструкций;1
Разработка нового продукта;1
Регрессионное тестирование;1
реляционные БД;1
РТК сварка;1
СentOS;1
САПР;1
Свободное владение английским языком;1
Серверное программирование;1
Сертификация;1
Системы хранения данных;1
Складская логистика;1
Складское ПО;1
Складской документооборот;1
Складской Учет;1
Сметы;1
Стажировка;1
Стратегический маркетинг;1
Стратегическое мышление;1
Структуры данных и алгоритмы;1
СХД;1
СЭД;1
Техническая документация;1
Технические средства информационной защиты;1
Технический перевод;1
Умение работать в коллективе;1
Управление maintenance-процессами;1
Управление setup-проектами и процессами;1
Управление временем;1
Управление командой;1
управление мощностями;1
Управление ожиданиями;1
Управление продажами;1
Управление производством;1
Управление талантами;1
Управленческие навыки;1
Управленческое консультирование;1
ФДД;1
Финансовая отчетность;1
Финансовый анализ;1
Финансовый контроль;1
Функциональная безопасность;1
Целеустремленность;1
Электронная почта;1
Электронный документооборот;1
